Time, Milliseconds, "tia"       , "TIA_AM_SCHA"           , "tqi_gs_fast_dec", "tqi_gs_fast_inc", "pv_av"     , "LAMB_LS_UP[1]"           , "LAMB_LS_UP[2]"           , "state_eng" , "teg_dyn_up_cat[1]", "TEG_DYN_UP_CAT[2]"           , "fup"       , "fup_sp"    , "pump_vol_vcv", "efppwm"    , "fup_efp"   , "iga_av_mv" , "TI_1_HOM[0]"           , "TI_1_HOM[3]"           , "amp_mes"   , "map"       , "map_mes"   , "map_1_mes" , "map_2_mes" , "pdt_mes"   , "maf"       , "iga_ad_1_knk[0]", "iga_ad_1_knk[1]", "iga_ad_1_knk[2]", "iga_ad_1_knk[3]", "iga_ad_1_knk[4]", "iga_ad_1_knk[5]", "lamb_sp[1]", "LAMB_SP[2]"           , "tqi_av"    , "gear"      , "vs"        , "CAM_SP_IVVT_IN"           , "map_sp"    , "rfp_sp"    , "Short Term Fuel Trim - Bank 1"           , "Long Term Fuel Trim - Bank 1"           , "Short Term Fuel Trim - Bank 2"           , "Long Term Fuel Trim - Bank 2"           , "Engine RPM"           , "Ignition Timing Advance for #1 Cylinder"           , "Ambient air temperature"           , "Commanded Throttle Actuator Control"           
Sec.ms, ms, Â°C       , Â°C       , Nm        , Nm        , %         ,           ,           , -         , Â°C       , Â°C       , hPa       , hPa       , %         , %         , hPa       , Â°        , ms        , ms        , hPa       , hPa       , hPa       , hPa       , hPa       , hPa       , mg/stroke , Â°        , Â°        , Â°        , Â°        , Â°        , Â°        ,           ,           , Nm        ,           , km/h      , Â°        , hPa       , Â°        , %         , %         , %         , %         , 1/min     , Â°        , Â°C       , %         
Timestamp, Timestamp Milliseconds,           , Param_TIAAMSCHA,           ,           ,           , Param_LAMBLSUP1, Param_LAMBLSUP2,           ,           , Param_TEGDYNUPCAT2,           ,           ,           ,           ,           ,           , Param_TI1HOM0, Param_TI1HOM3,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           , Param_LAMBSP2,           ,           ,           , Param_CAMSPIVVTIN,           ,           , Param_ShortTermFuelTrimBank1, Param_LongTermFuelTrimBank1, Param_ShortTermFuelTrimBank2, Param_LongTermFuelTrimBank2, Param_EnginRPM, Param_IgnitTiminAdvanFor1Cylin, Param_AmbieAirTempe, Param_CommaThrotActuaContr
0.000,0, 36.75     , 32.25     , 1023.96875, 0         , 0         , 1.0009766 , 0.98046875, 2         , 380.725   , 380.6     , 41779.82  , 42082.305 , 10.678101 , 24.349976 , 5136.9067 , 0.375     , 1.0320001 , 1.0400001 , 1012.423  , 437.22412 , 438.5508  , 438.30203 , 438.79956 , 433.4099  , 157.26529 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 66.84375  , 0         , 0         , 127.875   , 447.17422 , 75.67383  , 5.46875   , 0         , 4.6875    , 4.6875    , 690.9684  , -0.5      , 16        , 1.1764706 
0.096,96, 36.75     , 32.25     , 1023.96875, 0         , 0         , 1.0058594 , 0.98828125, 2         , 380.2875  , 380.225   , 41732.06  , 42281.305 , 10.896301 , 24.33319  , 5118.333  , -0.75     , 1.056     , 1.0600001 , 1012.423  , 440.54083 , 443.36002 , 443.02835 , 443.7746  , 438.21912 , 159.91463 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 66.875    , 0         , 0         , 127.875   , 444.10626 , 75.85327  , 5.46875   , 0         , 4.6875    , 5.46875   , 695.96814 , -1        , 16        , 1.1764706 
0.196,196, 36.75     , 32.25     , 1023.96875, 0         , 0         , 1.0039062 , 0.9941406 , 2         , 379.975   , 379.85    , 41721.445 , 42427.24  , 11.099243 , 24.32251  , 5123.6396 , -1.5      , 1.0960001 , 1.08      , 1012.423  , 444.43793 , 445.1013  , 444.93546 , 445.26712 , 439.62872 , 161.6738  , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 66.28125  , 0         , 0         , 127.875   , 442.365   , 76.032715 , 5.46875   , 0.78125   , 5.46875   , 5.46875   , 700.9679  , -2        , 16        , 1.1764706 
0.296,296, 36.75     , 32.25     , 1023.96875, 0         , 0         , 1.0058594 , 0.99902344, 2         , 379.6625  , 379.6     , 41689.605 , 42533.375 , 11.199951 , 24.327087 , 5147.52   , -2.25     , 1.064     , 1.056     , 1012.423  , 443.44293 , 440.70667 , 440.0433  , 441.37    , 433.8245  , 157.28648 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 64.125    , 0         , 0         , 127.875   , 438.9654  , 76.21216  , 5.46875   , 0.78125   , 5.46875   , 6.25      , 709.9675  , -2.5      , 16        , 1.1764706 
0.396,396, 36.75     , 32.25     , 1023.96875, 0         , 0         , 1.0039062 , 1.0039062 , 2         , 379.475   , 379.4125  , 41880.65  , 42384.785 , 10.897827 , 24.339294 , 5147.52   , -3.375    , 1.036     , 1.0480001 , 1012.423  , 439.5458  , 434.6537  , 434.15616 , 435.2341  , 427.1911  , 153.87411 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 61.71875  , 0         , 0         , 127.875   , 430.9224  , 76.3916   , 5.46875   , 0.78125   , 4.6875    , 5.46875   , 712.96735 , -4        , 16        , 1.1764706 
0.496,496, 36.75     , 32.25     , 1023.96875, 0         , 0         , 0.99316406, 0.9970703 , 2         , 379.35    , 379.2875  , 42061.074 , 42143.332 , 10.560608 , 24.357605 , 5123.6396 , -3.375    , 1.008     , 1.0200001 , 1012.423  , 435.98035 , 428.10318 , 427.6886  , 428.6007  , 421.38687 , 150.99162 , 0         , 0         , 0         , 0         , 0         , 0         , 0.99902344, 0.99902344, 61.46875  , 0         , 0         , 127.875   , 437.47287 , 76.571045 , 5.46875   , 0         , 4.6875    , 5.46875   , 700.9679  , -2.5      , 16        , 1.1764706 
0.596,596, 36.75     , 32.25     , 1023.96875, 0         , 0         , 0.99121094, 0.99121094, 2         , 379.35    , 379.2875  , 42103.53  , 41737.367 , 10.13031  , 24.388123 , 5120.9863 , -1.5      , 0.9760001 , 0.984     , 1012.423  , 431.58572 , 424.3719  , 423.8744  , 424.95233 , 418.40182 , 149.67755 , 0         , 0         , 0         , 0         , 0         , 0         , 0.99902344, 0.99902344, 64.15625  , 0         , 0         , 127.875   , 445.1013  , 76.75049  , 5.46875   , -0.78125  , 4.6875    , 4.6875    , 700.9679  , 1         , 16        , 1.5686275 
0.696,696, 36.75     , 32.25     , 1023.96875, 0         , 0         , 0.98535156, 0.98828125, 2         , 379.225   , 379.1625  , 42018.62  , 41607.35  , 10.038757 , 24.406433 , 5147.52   , 5.25      , 0.99600005, 0.98800004, 1012.423  , 432.74658 , 430.67365 , 430.67365 , 430.67365 , 426.94235 , 154.72191 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 69.4375   , 0         , 0         , 127.875   , 456.29514 , 76.92993  , 5.46875   , 0         , 4.6875    , 4.6875    , 704.9677  , 12.5      , 16        , 1.9607843 
0.796,796, 36.75     , 32.25     , 1023.96875, 0         , 0         , 0.98046875, 0.98828125, 2         , 378.85    , 378.7875  , 42018.62  , 42209.664 , 10.783386 , 24.345398 , 5150.1733 , -5.25     , 1.072     , 1.0760001 , 1012.423  , 444.6038  , 446.26212 , 446.01337 , 446.5938  , 440.9554  , 162.4792  , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 63.34375  , 0         , 0         , 127.875   , 441.37    , 76.87866  , 5.46875   , 0.78125   , 4.6875    , 5.46875   , 695.96814 , -5        , 16        , 1.1764706 
0.896,896, 36.75     , 32.25     , 1023.96875, 0         , 0         , 0.9794922 , 0.99121094, 2         , 377.6     , 377.5375  , 41885.953 , 42228.24  , 10.903931 , 24.334717 , 5128.9463 , -3        , 1.0320001 , 1.044     , 1012.423  , 446.5938  , 444.52087 , 444.02335 , 445.01837 , 438.5508  , 159.21521 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 66.9375   , 0         , 0         , 127.875   , 451.56885 , 76.69922  , 5.46875   , 0         , 4.6875    , 4.6875    , 685.9686  , -0.5      , 17        , 1.1764706 
0.996,996, 36.75     , 32.25     , 1023.96875, 0         , 0         , 0.984375  , 0.99902344, 2         , 377.6625  , 377.6     , 41859.42  , 42063.73  , 10.725403 , 24.35608  , 5134.2534 , 1.125     , 1.0040001 , 1.0480001 , 1012.423  , 445.1842  , 441.70166 , 441.28708 , 442.19916 , 435.7316  , 157.41365 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 67.3125   , 0         , 0         , 127.875   , 451.56885 , 76.519775 , 5.46875   , 0         , 5.46875   , 5.46875   , 684.9686  , 1.5       , 17        , 1.5686275 
1.096,1096, 36.75     , 32.25     , 1023.96875, 0         , 0         , 0.98828125, 1.0058594 , 2         , 377.4125  , 377.4125  , 41774.51  , 42116.797 , 10.7925415, 24.351501 , 5155.48   , 1.5       , 1.016     , 1.0840001 , 1012.423  , 442.19916 , 441.70166 , 441.61874 , 441.8675  , 436.39493 , 158.68533 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 67.15625  , 0         , 0         , 127.875   , 444.355   , 76.34033  , 5.46875   , 0         , 5.46875   , 5.46875   , 696.9681  , 0         , 17        , 1.1764706 
1.196,1196, 36.75     , 32.25     , 1023.96875, 0         , 0         , 0.9902344 , 1.0087891 , 2         , 377.1     , 377.0375  , 41774.51  , 42366.21  , 10.961914 , 24.342346 , 5150.1733 , -2.25     , 1.024     , 1.092     , 1012.423  , 441.61874 , 443.2771  , 443.02835 , 443.60876 , 438.1362  , 158.34622 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 64.75     , 0         , 0         , 127.875   , 442.28207 , 76.16089  , 5.46875   , 0.78125   , 4.6875    , 6.25      , 704.9677  , -3.5      , 17        , 1.5686275 
1.296,1296, 36.75     , 33        , 1023.96875, 0         , 0         , 0.99316406, 0.9970703 , 2         , 376.85    , 376.85    , 41859.42  , 42427.24  , 11.14502  , 24.324036 , 5123.6396 , -4.125    , 1.036     , 1.1       , 1012.423  , 441.8675  , 446.1792  , 445.6817  , 446.67673 , 440.70667 , 160.19017 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 64.53125  , 0         , 0         , 127.875   , 446.51086 , 75.95581  , 5.46875   , 0         , 4.6875    , 5.46875   , 697.968   , -3.5      , 17        , 1.5686275 
1.396,1396, 36.75     , 32.25     , 1023.96875, 0         , 0         , 0.9970703 , 0.9941406 , 2         , 376.9125  , 376.9125  , 41923.1   , 42427.24  , 11.135864 , 24.316406 , 5123.6396 , -2.625    , 1.052     , 1.1120001 , 1012.423  , 444.6867  , 447.75464 , 447.5059  , 448.0034  , 442.53085 , 162.09769 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 66.6875   , 0         , 0         , 127.875   , 443.36002 , 75.77637  , 5.46875   , 0         , 4.6875    , 5.46875   , 693.96826 , -2.5      , 17        , 1.1764706 
1.496,1496, 36.75     , 33        , 1023.96875, 0         , 0         , 1.0039062 , 0.98535156, 2         , 376.9125  , 376.9125  , 41997.395 , 42647.47  , 11.38916  , 24.298096 , 5144.8667 , -2.25     , 1.0040001 , 1.028     , 1012.423  , 447.75464 , 450.24216 , 449.82758 , 450.7397  , 444.85254 , 163.92044 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 67        , 0         , 0         , 127.875   , 445.93045 , 75.596924 , 5.46875   , 0.78125   , 4.6875    , 5.46875   , 696.9681  , -2.5      , 17        , 1.1764706 
