Time, Milliseconds," ""tia""       "," ""TIA_AM_SCHA""           "," ""tqi_gs_fast_dec"""," ""tqi_gs_fast_inc"""," ""pv_av""     "," ""LAMB_LS_UP[1]""           "," ""LAMB_LS_UP[2]""           "," ""state_eng"" "," ""teg_dyn_up_cat[1]"""," ""TEG_DYN_UP_CAT[2]""           "," ""fup""       "," ""fup_sp""    "," ""pump_vol_vcv"""," ""efppwm""    "," ""fup_efp""   "," ""iga_av_mv"" "," ""TI_1_HOM[0]""           "," ""TI_1_HOM[3]""           "," ""amp_mes""   "," ""map""       "," ""map_mes""   "," ""map_1_mes"" "," ""map_2_mes"" "," ""pdt_mes""   "," ""maf""       "," ""iga_ad_1_knk[0]"""," ""iga_ad_1_knk[1]"""," ""iga_ad_1_knk[2]"""," ""iga_ad_1_knk[3]"""," ""iga_ad_1_knk[4]"""," ""iga_ad_1_knk[5]"""," ""lamb_sp[1]"""," ""LAMB_SP[2]""           "," ""tqi_av""    "," ""gear""      "," ""vs""        "," ""CAM_SP_IVVT_IN""           "," ""map_sp""    "," ""rfp_sp""    "," ""Short Term Fuel Trim - Bank 1""           "," ""Long Term Fuel Trim - Bank 1""           "," ""Short Term Fuel Trim - Bank 2""           "," ""Long Term Fuel Trim - Bank 2""           "," ""Engine RPM""           "," ""Ignition Timing Advance for #1 Cylinder""           "," ""Ambient air temperature""           "," ""Commanded Throttle Actuator Control""           "
Sec.ms, ms, Â°C       , Â°C       , Nm        , Nm        , %         ,           ,           , -         , Â°C       , Â°C       , hPa       , hPa       , %         , %         , hPa       , Â°        , ms        , ms        , hPa       , hPa       , hPa       , hPa       , hPa       , hPa       , mg/stroke , Â°        , Â°        , Â°        , Â°        , Â°        , Â°        ,           ,           , Nm        ,           , km/h      , Â°        , hPa       , Â°        , %         , %         , %         , %         , 1/min     , Â°        , Â°C       , %         
Timestamp, Timestamp Milliseconds,           , Param_TIAAMSCHA,           ,           ,           , Param_LAMBLSUP1, Param_LAMBLSUP2,           ,           , Param_TEGDYNUPCAT2,           ,           ,           ,           ,           ,           , Param_TI1HOM0, Param_TI1HOM3,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           , Param_LAMBSP2,           ,           ,           , Param_CAMSPIVVTIN,           ,           , Param_ShortTermFuelTrimBank1, Param_LongTermFuelTrimBank1, Param_ShortTermFuelTrimBank2, Param_LongTermFuelTrimBank2, Param_EnginRPM, Param_IgnitTiminAdvanFor1Cylin, Param_AmbieAirTempe, Param_CommaThrotActuaContr
134.701,134701,45,41.25,1023.96875,0,11.9140625,0.9873047,1.0009766,3,343.4125,343.5375,41074.027,42599.707,12.588501,24.230957,5227.121,3.375,1.6960001,1.84,1010.51587,496.42722,585.72943,515.6641,516.2445,553.2257,303.67883,0,0,0,0,0,0,0.99316406,0.99316406,239.15625,0,0,106.125,1209.8496,50.50049,3.90625,4.6875,5.46875,10.15625,728.9666,9.5,24,12.54902
134.801,134801,45,41.25,1023.96875,0,22.851562,0.98828125,0.99902344,3,341.6,341.7875,39413.023,48203.605,40.846252,25.494385,5213.854,6.375,4.408,4.636,1010.5988,968.97424,989.289,965.2429,964.9942,975.1101,501.6593,0,0,0,0,0,0,0.9921875,0.9921875,274.78125,0,0,97.125,1374.4409,0,3.90625,11.71875,5.46875,14.0625,811.9628,0.5,24,19.607843
134.901,134901,45,41.25,1023.96875,0,32.617188,0.9550781,0.9658203,3,351.975,352.2875,37051.53,56609.453,52.464294,26.716614,5155.48,4.125,5.3040004,5.4040003,1010.51587,1263.9119,1232.652,1232.9008,1232.4861,956.53656,644.4061,0,0,0,0,0,0,0.99121094,0.99121094,360.15625,0,0,90,1157.6116,30.915527,3.90625,11.71875,5.46875,14.0625,1216.9443,14,24,23.92157
135.001,135001,45,41.25,1023.96875,0,36.523438,0.9199219,0.9248047,3,378.725,378.975,37683.03,69218.23,62.53662,28.598022,4967.0913,10.875,4.6320004,4.828,1010.433,1051.1455,1088.9559,1088.8729,1089.1217,982.9873,514.6093,0,0,0,0,0,0,0.99121094,0.99121094,332.34375,0,0,90,1128.5076,39.400635,3.90625,12.5,5.46875,14.84375,1854.915,5.5,24,29.019608
135.101,135101,45,41.25,1023.96875,0,37.109375,1.1757812,1.0615234,3,417.9125,418.225,63675.355,81826.99,53.303528,28.057861,4669.915,16.875,3.5560002,3.64,1010.35004,1082.1566,1078.0107,1078.0107,1078.0936,995.342,518.17004,0,0,0,0,0,0,0.99121094,0.99121094,327.59375,0,0,90,1196.1682,31.300049,3.90625,12.5,5.46875,14.84375,1880.914,17,24,32.941177
135.201,135201,45,42,1023.96875,0,38.183594,1.5351562,1.4521484,3,447.5375,447.7875,83495.96,87988.1,38.612366,30.31311,4356.8184,16.5,3.5440001,3.6720002,1010.433,1152.5536,1159.8503,1159.7675,1160.0162,995.09326,578.1725,0,0,0,0,0,0,0.99121094,0.99121094,370.15625,0,0,90,1190.364,31.428223,3.90625,12.5,5.46875,14.84375,1970.9098,17,24,34.509804
135.301,135301,45,42,1023.96875,0,39.257812,1.3759766,1.359375,3,475.9125,476.1625,92496.16,87239.85,31.912231,31.848145,4218.8438,16.5,3.1840003,3.292,1010.51587,1164.6595,1155.7874,1155.4557,1156.119,983.9823,587.11664,0,0,0,0,0,0,0.99121094,0.99121094,399.78125,0,0,90,1226.0186,27.583008,3.90625,12.5,5.46875,14.84375,1773.9188,16.5,24,35.294117
135.403,135403,45,42,1023.96875,0,41.89453,1.2705078,1.0976562,3,495.9125,496.1,93897.13,95542.22,40.22827,41.52527,4335.592,-13.875,3.7840002,3.828,1010.433,1208.357,1118.8062,1119.4695,1118.2257,947.084,531.7135,0,0,0,0,0,0,0.99121094,0.99121094,323.28125,0,0,90,1026.7677,68.08594,15.625,12.5,15.625,14.84375,2080.9048,-14.5,24,16.078432
135.501,135501,44.25,42,1023.96875,0,46.191406,0.87109375,0.8466797,3,536.225,536.6625,108384.484,94992.97,15.000916,41.8869,4587.661,21,3.088,3.1680002,1010.51587,1088.6241,1117.3966,1116.899,1117.894,989.5378,610.74884,0,0,0,0,0,0,0.9902344,0.9902344,413.25,0,0,98.25,1381.1572,31.505127,14.0625,12.5,14.84375,14.84375,2601.8809,21.5,24,46.27451
135.603,135603,44.25,42,1023.96875,0,47.460938,0.8730469,0.8623047,3,551.6,551.0375,108612.67,116007.586,49.568176,41.893005,5237.7344,21.75,3.604,3.68,1010.5988,1332.4017,1319.6324,1322.8662,1316.4816,992.85443,674.6723,0,0,0,0,0,0,0.9892578,0.9892578,457.875,0,0,102.375,1323.8612,35.06836,6.25,13.28125,6.25,14.84375,3077.8591,21.5,24,50.588238
135.703,135703,44.25,42,1023.96875,0,39.257812,0.91796875,0.8964844,3,580.7875,579.2875,139874.56,116628.48,6.6116333,38.607788,5495.1104,22.125,3.0440001,3.0400002,1010.6817,1240.0316,1267.5602,1262.834,1272.3694,1000.39996,622.3636,0,0,0,0,0,0,0.9902344,0.9902344,407.875,0,3,102.375,1225.6869,41.52832,3.90625,13.28125,2.34375,14.84375,3080.859,19,24,53.333336
135.803,135803,44.25,42,1023.96875,0,39.0625,0.91308594,0.95703125,3,607.975,604.725,124803.484,109737.695,12.747192,36.92932,5967.4087,26.625,2.72,2.8160002,1010.5988,1199.1533,1189.2861,1188.291,1190.2811,997.7466,584.7216,0,0,0,0,0,0,0.9902344,0.9902344,392.75,1,6,96,1370.4608,29.659424,0.78125,13.28125,0.78125,14.84375,2860.8691,26,24,50.980392
135.901,135901,43.5,42,1023.96875,0,49.609375,0.98046875,0.9863281,3,623.7875,624.1625,106219.34,111985.09,44.239807,38.027954,6492.774,24.375,3.5920002,3.7120001,1010.51587,1371.29,1314.5745,1315.8182,1313.4136,997.08325,683.129,0,0,0,0,0,0,0.9902344,0.9902344,458.59375,1,9,96.375,1434.8878,24.53247,-0.78125,13.28125,0.78125,14.84375,2787.8723,25,24,50.980392
136.003,136003,43.5,42,1023.96875,0,53.515625,0.99902344,0.9716797,3,643.475,643.975,123636,112802.33,29.315186,38.867188,6508.6943,23.25,3.8320003,3.8880002,1010.433,1462.4164,1440.6091,1439.4482,1441.8529,994.18115,761.9312,0,0,0,0,0,0,0.9892578,0.9892578,502.3125,1,11,97.125,1634.2216,20.200195,0,13.28125,0.78125,14.84375,2825.8706,23.5,24,52.941177
136.103,136103,43.5,42,1023.96875,0,63.476562,0.9394531,0.92578125,3,662.975,662.0375,123115.945,116060.66,42.243958,40.353394,6445.0137,24,4.32,4.36,1010.51587,1676.9241,1608.5171,1606.8588,1610.2584,992.4399,874.1152,0,0,0,0,0,0,0.83984375,0.83984375,594.5625,1,14,93.75,2140.1843,7.767334,-1.5625,13.28125,-1.5625,14.84375,2929.866,23,24,57.2549
136.203,136203,43.5,42,1023.96875,0,83.49609,0.84472656,0.8535156,3,677.225,674.85,122670.18,129093.97,77.71149,60.717773,6248.6646,24.75,6.6240005,6.7160006,1010.5988,2150.8806,1941.8456,1945.4939,1938.1971,990.0353,1083.2441,0,0,0,0,0,0,0.83984375,0.83984375,696.15625,1,16,93.75,2549.88,0,-3.125,13.28125,-2.34375,14.84375,3343.847,24.5,24,69.411766
136.303,136303,42.75,42.75,1023.96875,0,94.23828,0.7363281,0.7441406,3,678.2875,678.2875,132105.53,135021.58,76.98059,74.74365,6033.7427,25.5,6.7000003,6.748,1010.6817,2118.9573,2138.277,2142.1743,2134.463,994.4299,1140.9363,0,0,0,0,0,0,0.81933594,0.81933594,747.75,1,19,96,2549.9626,0,-7.03125,13.28125,-7.03125,14.84375,3936.8198,25,24,87.05882
136.403,136403,42.75,42.75,1023.96875,0,94.23828,0.7783203,0.78515625,3,667.475,669.5375,140177.05,139725.98,77.97089,81.051636,6569.7217,25.125,6.8040004,6.9,1010.5988,2198.2266,2209.918,2208.5913,2211.2446,993.352,1162.4279,0,0,0,0,0,0,0.81933594,0.81933594,747.6875,1,24,96,2549.9626,0,-9.375,13.28125,-9.375,14.84375,4197.8076,25,24,89.411766
136.503,136503,42.75,42.75,1023.96875,0,99.41406,0.7597656,0.77246094,3,675.5375,678.85,142740.2,141180.03,77.38953,81.59332,6662.589,25.125,6.9,6.9760003,1010.51587,2218.044,2227.8281,2238.2756,2217.4634,992.4399,1197.6112,0,0,0,0,0,0,0.81933594,0.81933594,764.8125,1,29,96,2549.88,0,-11.71875,13.28125,-10.9375,14.84375,4285.8037,25.5,24,92.15687
136.601,136601,42,42.75,1023.96875,0,99.90234,0.7685547,0.7714844,3,678.4125,684.35,141121.66,144090.77,78.34778,80.42908,6795.2573,24.75,6.676,6.8320003,1010.433,2248.1428,2246.5674,2256.6833,2236.4514,989.7036,1197.484,0,0,0,0,0,0,0.81933594,0.81933594,758.15625,1,36,96,2549.9626,0,-14.0625,13.28125,-13.28125,14.84375,4352.801,25,24,94.90196
136.703,136703,42,42.75,1023.96875,0,99.90234,0.7871094,0.79296875,3,685.225,690.4125,144077.5,147272.14,78.878784,80.30701,6776.6836,25.125,6.596,6.788,1010.433,2260.3318,2275.008,2269.9502,2280.1492,987.8794,1190.4685,0,0,0,0,0,0,0.81933594,0.81933594,752.5,1,37,96,2549.88,0,-15.625,13.28125,-14.0625,14.84375,4516.7935,25.5,24,97.254906
136.803,136803,42,43.5,1023.96875,0,99.90234,0.7949219,0.8027344,3,699.35,704.85,145122.92,149447.89,77.69165,79.418945,6792.6035,25.125,6.3880005,6.696,1010.35004,2284.8752,2296.6497,2318.7886,2274.5935,985.4748,1198.7345,0,0,0,0,0,0,0.8232422,0.8232422,744.625,1,40,96.375,2549.9626,0,-16.40625,13.28125,-14.84375,14.84375,4738.783,25,24,99.60784
