Time, Milliseconds, "tia"       , "TIA_AM_SCHA"           , "tqi_gs_fast_dec", "tqi_gs_fast_inc", "pv_av"     , "LAMB_LS_UP[1]"           , "LAMB_LS_UP[2]"           , "state_eng" , "teg_dyn_up_cat[1]", "TEG_DYN_UP_CAT[2]"           , "fup"       , "fup_sp"    , "pump_vol_vcv", "efppwm"    , "fup_efp"   , "iga_av_mv" , "TI_1_HOM[0]"           , "TI_1_HOM[3]"           , "amp_mes"   , "map"       , "map_mes"   , "map_1_mes" , "map_2_mes" , "pdt_mes"   , "maf"       , "iga_ad_1_knk[0]", "iga_ad_1_knk[1]", "iga_ad_1_knk[2]", "iga_ad_1_knk[3]", "iga_ad_1_knk[4]", "iga_ad_1_knk[5]", "lamb_sp[1]", "LAMB_SP[2]"           , "tqi_av"    , "gear"      , "vs"        , "CAM_SP_IVVT_IN"           , "map_sp"    , "rfp_sp"    , "Short Term Fuel Trim - Bank 1"           , "Long Term Fuel Trim - Bank 1"           , "Short Term Fuel Trim - Bank 2"           , "Long Term Fuel Trim - Bank 2"           , "Engine RPM"           , "Ignition Timing Advance for #1 Cylinder"           , "Ambient air temperature"           , "Commanded Throttle Actuator Control"           
Sec.ms, ms, Â°C       , Â°C       , Nm        , Nm        , %         ,           ,           , -         , Â°C       , Â°C       , hPa       , hPa       , %         , %         , hPa       , Â°        , ms        , ms        , hPa       , hPa       , hPa       , hPa       , hPa       , hPa       , mg/stroke , Â°        , Â°        , Â°        , Â°        , Â°        , Â°        ,           ,           , Nm        ,           , km/h      , Â°        , hPa       , Â°        , %         , %         , %         , %         , 1/min     , Â°        , Â°C       , %         
Timestamp, Timestamp Milliseconds,           , Param_TIAAMSCHA,           ,           ,           , Param_LAMBLSUP1, Param_LAMBLSUP2,           ,           , Param_TEGDYNUPCAT2,           ,           ,           ,           ,           ,           , Param_TI1HOM0, Param_TI1HOM3,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           , Param_LAMBSP2,           ,           ,           , Param_CAMSPIVVTIN,           ,           , Param_ShortTermFuelTrimBank1, Param_LongTermFuelTrimBank1, Param_ShortTermFuelTrimBank2, Param_LongTermFuelTrimBank2, Param_EnginRPM, Param_IgnitTiminAdvanFor1Cylin, Param_AmbieAirTempe, Param_CommaThrotActuaContr
0.000,0, 33.75     , 31.5      , 1023.96875, 0         , 0         , 4         , 4         , 5         , 452.0375  , 452.1     , 36945.395 , 35000.484 , 0         , 24.615479 , 5569.4043 , -20.25    , 0.84400004, 0.86800003, 1006.95044, 283.16336 , 283.8267  , 283.4121  , 284.24127 , 267.40903 , 96.18192  , 0         , 0         , 0         , 0         , 0         , 0         , 1         , 1         , 0         , 4         , 55        , 124.875   , 283.3292  , 75.596924 , 0         , 4.6875    , 0         , 7.03125   , 1783.9183 , -20.5     , 14        , 2.745098  
0.097,97, 33.75     , 31.5      , 1023.96875, 0         , 0         , 4         , 4         , 5         , 452.0375  , 452.1     , 36945.395 , 35000.484 , 0         , 24.615479 , 5569.4043 , -20.25    , 0.84400004, 0.86800003, 1006.95044, 283.16336 , 283.8267  , 283.4121  , 284.24127 , 267.40903 , 96.18192  , 0         , 0         , 0         , 0         , 0         , 0         , 1         , 1         , 0         , 4         , 55        , 124.875   , 283.3292  , 75.596924 , 0         , 4.6875    , 0         , 7.03125   , 1783.9183 , -20.5     , 14        , 2.745098  
0.196,196, 33.75     , 31.5      , 1023.96875, 0         , 0         , 4         , 4         , 5         , 452.0375  , 452.1     , 36945.395 , 35000.484 , 0         , 24.615479 , 5569.4043 , -20.25    , 0.84400004, 0.86800003, 1006.95044, 283.16336 , 283.8267  , 283.4121  , 284.24127 , 267.40903 , 96.18192  , 0         , 0         , 0         , 0         , 0         , 0         , 1         , 1         , 0         , 4         , 55        , 124.875   , 283.3292  , 75.596924 , 0         , 4.6875    , 0         , 7.03125   , 1783.9183 , -20.5     , 14        , 2.745098  
0.297,297, 33.75     , 31.5      , 1023.96875, 0         , 0         , 4         , 4         , 5         , 452.0375  , 452.1     , 36945.395 , 35000.484 , 0         , 24.615479 , 5569.4043 , -20.25    , 0.84400004, 0.86800003, 1006.95044, 283.16336 , 283.8267  , 283.4121  , 284.24127 , 267.40903 , 96.18192  , 0         , 0         , 0         , 0         , 0         , 0         , 1         , 1         , 0         , 4         , 55        , 124.875   , 283.3292  , 75.596924 , 0         , 4.6875    , 0         , 7.03125   , 1783.9183 , -20.5     , 14        , 2.745098  
0.397,397, 33.75     , 31.5      , 1023.96875, 0         , 0         , 4         , 4         , 5         , 452.0375  , 452.1     , 36945.395 , 35000.484 , 0         , 24.615479 , 5569.4043 , -20.25    , 0.84400004, 0.86800003, 1006.95044, 283.16336 , 283.8267  , 283.4121  , 284.24127 , 267.40903 , 96.18192  , 0         , 0         , 0         , 0         , 0         , 0         , 1         , 1         , 0         , 4         , 55        , 124.875   , 283.3292  , 75.596924 , 0         , 4.6875    , 0         , 7.03125   , 1783.9183 , -20.5     , 14        , 2.745098  
0.498,498, 33.75     , 31.5      , 1023.96875, 0         , 0         , 4         , 4         , 5         , 452.0375  , 452.1     , 36945.395 , 35000.484 , 0         , 24.615479 , 5569.4043 , -20.25    , 0.84400004, 0.86800003, 1006.95044, 283.16336 , 283.8267  , 283.4121  , 284.24127 , 267.40903 , 96.18192  , 0         , 0         , 0         , 0         , 0         , 0         , 1         , 1         , 0         , 4         , 55        , 124.875   , 283.3292  , 75.596924 , 0         , 4.6875    , 0         , 7.03125   , 1783.9183 , -20.5     , 14        , 2.745098  
0.598,598, 33.75     , 31.5      , 1023.96875, 0         , 0         , 4         , 4         , 5         , 452.0375  , 452.1     , 36945.395 , 35000.484 , 0         , 24.615479 , 5569.4043 , -20.25    , 0.84400004, 0.86800003, 1006.95044, 283.16336 , 283.8267  , 283.4121  , 284.24127 , 267.40903 , 96.18192  , 0         , 0         , 0         , 0         , 0         , 0         , 1         , 1         , 0         , 4         , 55        , 124.875   , 283.3292  , 75.596924 , 0         , 4.6875    , 0         , 7.03125   , 1783.9183 , -20.5     , 14        , 2.745098  
0.697,697, 33.75     , 31.5      , 1023.96875, 0         , 0         , 4         , 4         , 5         , 452.0375  , 452.1     , 36945.395 , 35000.484 , 0         , 24.615479 , 5569.4043 , -20.25    , 0.84400004, 0.86800003, 1006.95044, 283.16336 , 283.8267  , 283.4121  , 284.24127 , 267.40903 , 96.18192  , 0         , 0         , 0         , 0         , 0         , 0         , 1         , 1         , 0         , 4         , 55        , 124.875   , 283.3292  , 75.596924 , 0         , 4.6875    , 0         , 7.03125   , 1783.9183 , -20.5     , 14        , 2.745098  
0.796,796, 33.75     , 31.5      , 1023.96875, 0         , 0         , 4         , 4         , 5         , 452.0375  , 452.1     , 36945.395 , 35000.484 , 0         , 24.615479 , 5569.4043 , -20.25    , 0.84400004, 0.86800003, 1006.95044, 283.16336 , 283.8267  , 283.4121  , 284.24127 , 267.40903 , 96.18192  , 0         , 0         , 0         , 0         , 0         , 0         , 1         , 1         , 0         , 4         , 55        , 124.875   , 283.3292  , 75.77637  , 0         , 4.6875    , 0         , 7.03125   , 1778.9186 , -20.5     , 14        , 2.745098  
0.896,896, 33.75     , 31.5      , 1023.96875, 0         , 0         , 4         , 4         , 5         , 450.475   , 450.5375  , 36945.395 , 35000.484 , 0         , 24.615479 , 5556.1377 , -20.25    , 0.84800005, 0.86      , 1006.95044, 283.4121  , 284.24127 , 283.74377 , 284.82172 , 267.16028 , 96.20312  , 0         , 0         , 0         , 0         , 0         , 0         , 1         , 1         , 0         , 4         , 55        , 124.875   , 284.07544 , 75.95581  , 0         , 4.6875    , 0         , 7.03125   , 1771.919  , -20.5     , 14        , 2.745098  
0.998,998, 33.75     , 31.5      , 1023.96875, 0         , 0         , 4         , 4         , 5         , 448.9125  , 448.9125  , 36945.395 , 35000.484 , 0         , 24.615479 , 5569.4043 , -20.25    , 0.84400004, 0.85600007, 1006.95044, 283.74377 , 283.8267  , 283.66086 , 283.99252 , 266.414   , 95.88519  , 0         , 0         , 0         , 0         , 0         , 0         , 1         , 1         , 0         , 4         , 54        , 124.875   , 284.3242  , 76.135254 , 0         , 4.6875    , 0         , 7.03125   , 1770.919  , -20.5     , 14        , 2.745098  
1.096,1096, 33.75     , 31.5      , 1023.96875, 0         , 0         , 4         , 4         , 5         , 447.2875  , 447.35    , 37173.586 , 35000.484 , 0         , 24.615479 , 5572.0576 , -20.25    , 0.84800005, 0.86      , 1006.95044, 282.33417 , 283.9096  , 283.66086 , 284.24127 , 266.24817 , 96.39387  , 0         , 0         , 0         , 0         , 0         , 0         , 1         , 1         , 0         , 4         , 54        , 124.875   , 282.33417 , 76.3147   , 0         , 4.6875    , 0         , 7.03125   , 1766.9191 , -20.5     , 14        , 2.745098  
1.196,1196, 33.75     , 31.5      , 1023.96875, 0         , 0         , 4         , 4         , 5         , 445.7875  , 445.7875  , 37194.812 , 35000.484 , 0         , 24.615479 , 5556.1377 , -20.25    , 0.84400004, 0.84800005, 1006.95044, 280.5929  , 282.74878 , 282.58292 , 282.9146  , 265.9165  , 95.22816  , 0         , 0         , 0         , 0         , 0         , 0         , 1         , 1         , 0         , 4         , 54        , 124.875   , 283.4121  , 76.49414  , 0         , 4.6875    , 0         , 7.03125   , 1762.9193 , -20.5     , 14        , 2.745098  
1.296,1296, 33.75     , 31.5      , 1023.96875, 0         , 0         , 4         , 4         , 5         , 444.225   , 444.2875  , 37194.812 , 35000.484 , 0         , 24.615479 , 5574.711  , -20.25    , 0.82800007, 0.84800005, 1006.95044, 280.01248 , 282.99753 , 282.66583 , 283.4121  , 266.414   , 94.35917  , 0         , 0         , 0         , 0         , 0         , 0         , 1         , 1         , 0         , 4         , 54        , 124.875   , 281.0075  , 76.673584 , 0         , 4.6875    , 0         , 7.03125   , 1757.9196 , -20.5     , 14        , 2.745098  
1.396,1396, 33.75     , 31.5      , 1023.96875, 0         , 0         , 4         , 4         , 5         , 442.6     , 442.6     , 37194.812 , 35000.484 , 0         , 24.615479 , 5566.751  , -20.25    , 0.82400006, 0.84800005, 1006.95044, 280.84167 , 282.99753 , 282.66583 , 283.3292  , 266.49692 , 95.77922  , 0         , 0         , 0         , 0         , 0         , 0         , 1         , 1         , 0         , 4         , 54        , 124.875   , 279.76373 , 76.85303  , 0         , 4.6875    , 0         , 7.03125   , 1753.9197 , -20.5     , 14        , 2.745098  
1.497,1497, 33.75     , 31.5      , 1023.96875, 0         , 0         , 4         , 4         , 5         , 440.9125  , 440.975   , 37194.812 , 35000.484 , 0         , 24.615479 , 5580.018  , -20.25    , 0.836     , 0.85200006, 1006.95044, 281.58792 , 283.49503 , 283.24628 , 283.8267  , 266.91153 , 95.842804 , 0         , 0         , 0         , 0         , 0         , 0         , 1         , 1         , 0         , 4         , 54        , 124.875   , 278.93457 , 76.95557  , 0         , 4.6875    , 0         , 7.03125   , 1751.9198 , -20.5     , 14        , 2.745098  
1.596,1596, 33.75     , 31.5      , 1023.96875, 0         , 0         , 4         , 4         , 5         , 439.35    , 439.4125  , 37417.695 , 35000.484 , 0         , 24.615479 , 5582.6714 , -20.25    , 0.832     , 0.84000003, 1006.95044, 281.67084 , 281.09042 , 280.50998 , 281.67084 , 263.429   , 93.87169  , 0         , 0         , 0         , 0         , 0         , 0         , 1         , 1         , 0         , 4         , 54        , 124.875   , 280.84167 , 76.77612  , 0         , 4.6875    , 0         , 7.03125   , 1750.9198 , -20.5     , 14        , 2.745098  
