Time, Milliseconds, "tia"       , "TIA_AM_SCHA"           , "tqi_gs_fast_dec", "tqi_gs_fast_inc", "pv_av"     , "LAMB_LS_UP[1]"           , "LAMB_LS_UP[2]"           , "state_eng" , "teg_dyn_up_cat[1]", "TEG_DYN_UP_CAT[2]"           , "fup"       , "fup_sp"    , "pump_vol_vcv", "efppwm"    , "fup_efp"   , "iga_av_mv" , "TI_1_HOM[0]"           , "TI_1_HOM[3]"           , "amp_mes"   , "map"       , "map_mes"   , "map_1_mes" , "map_2_mes" , "pdt_mes"   , "maf"       , "iga_ad_1_knk[0]", "iga_ad_1_knk[1]", "iga_ad_1_knk[2]", "iga_ad_1_knk[3]", "iga_ad_1_knk[4]", "iga_ad_1_knk[5]", "lamb_sp[1]", "LAMB_SP[2]"           , "tqi_av"    , "gear"      , "vs"        , "CAM_SP_IVVT_IN"           , "map_sp"    , "rfp_sp"    , "Short Term Fuel Trim - Bank 1"           , "Long Term Fuel Trim - Bank 1"           , "Short Term Fuel Trim - Bank 2"           , "Long Term Fuel Trim - Bank 2"           , "Engine RPM"           , "Ignition Timing Advance for #1 Cylinder"           , "Ambient air temperature"           , "Commanded Throttle Actuator Control"           
Sec.ms, ms, Â°C       , Â°C       , Nm        , Nm        , %         ,           ,           , -         , Â°C       , Â°C       , hPa       , hPa       , %         , %         , hPa       , Â°        , ms        , ms        , hPa       , hPa       , hPa       , hPa       , hPa       , hPa       , mg/stroke , Â°        , Â°        , Â°        , Â°        , Â°        , Â°        ,           ,           , Nm        ,           , km/h      , Â°        , hPa       , Â°        , %         , %         , %         , %         , 1/min     , Â°        , Â°C       , %         
Timestamp, Timestamp Milliseconds,           , Param_TIAAMSCHA,           ,           ,           , Param_LAMBLSUP1, Param_LAMBLSUP2,           ,           , Param_TEGDYNUPCAT2,           ,           ,           ,           ,           ,           , Param_TI1HOM0, Param_TI1HOM3,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           , Param_LAMBSP2,           ,           ,           , Param_CAMSPIVVTIN,           ,           , Param_ShortTermFuelTrimBank1, Param_LongTermFuelTrimBank1, Param_ShortTermFuelTrimBank2, Param_LongTermFuelTrimBank2, Param_EnginRPM, Param_IgnitTiminAdvanFor1Cylin, Param_AmbieAirTempe, Param_CommaThrotActuaContr
0.000,0, 29.25     , 24        , 1023.96875, 0         , 14.0625   , 1.0087891 , 0.9941406 , 3         , 474.5375  , 474.35    , 48588.344 , 47399.637 , 8.80127   , 25.77362  , 4945.8647 , 21.75     , 0.96400005, 1.108     , 1008.9405 , 377.85516 , 375.45056 , 374.7043  , 376.27972 , 353.31158 , 155.08221 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9970703 , 0.9970703 , 91.28125  , 6         , 110       , 101.625   , 390.87323 , 75.85327  , -0.78125  , 6.25      , -0.78125  , 8.59375   , 2225.8982 , 21.5      , 17        , 5.490196  
0.201,201, 29.25     , 24        , 1023.96875, 0         , 14.0625   , 1.0546875 , 0.94140625, 3         , 480.1     , 479.9125  , 50811.86  , 47712.734 , 7.446289  , 25.964355 , 4993.625  , 21.375    , 1.0680001 , 0.97200006, 1009.1063 , 394.43866 , 381.3377  , 380.67438 , 382.08395 , 354.96994 , 155.1458  , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 90.78125  , 6         , 110       , 101.625   , 390.2928  , 75.494385 , 0         , 7.03125   , -1.5625   , 8.59375   , 2213.8987 , 21.5      , 17        , 5.882353  
0.297,297, 29.25     , 24        , 1023.96875, 0         , 14.0625   , 1.0351562 , 0.9707031 , 3         , 482.6625  , 482.475   , 49952.17  , 47399.637 , 6.993103  , 25.953674 , 5033.4253 , 21.375    , 1.064     , 0.9480001 , 1009.0234 , 389.71237 , 376.69434 , 376.61142 , 376.86017 , 350.40945 , 152.79318 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 89.46875  , 6         , 110       , 101.625   , 391.2049  , 75.31494  , 0         , 7.03125   , -0.78125  , 8.59375   , 2208.899  , 21        , 17        , 5.882353  
0.397,397, 29.25     , 24        , 1023.96875, 0         , 14.0625   , 0.984375  , 1.0458984 , 3         , 484.725   , 484.6     , 49198.617 , 47054.703 , 7.472229  , 25.976562 , 5105.0664 , 21.75     , 1.08      , 0.97200006, 1008.9405 , 385.23483 , 375.6164  , 375.6164  , 375.6164  , 352.5653  , 152.49646 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 89.59375  , 6         , 110       , 101.625   , 387.88818 , 75.10986  , 0         , 7.03125   , 0         , 8.59375   , 2212.8987 , 21.5      , 17        , 5.882353  
0.497,497, 29.25     , 24        , 1023.96875, 0         , 14.2578125, 0.9707031 , 1.0673828 , 3         , 486.4125  , 486.225   , 49119.016 , 47869.28  , 8.0581665 , 26.0849   , 5113.0264 , 21.375    , 1.1120001 , 1         , 1008.85754, 383.82523 , 383.41064 , 383.07898 , 383.7423  , 361.10583 , 157.2017  , 0         , 0         , 0         , 0         , 0         , 0         , 0.9970703 , 0.9970703 , 92.65625  , 6         , 110       , 100.875   , 401.6525  , 74.93042  , 0.78125   , 7.03125   , 0.78125   , 8.59375   , 2217.8984 , 21        , 17        , 5.882353  
0.598,598, 29.25     , 24        , 1023.96875, 0         , 13.4765625, 0.95703125, 1.0732422 , 3         , 487.975   , 487.725   , 49193.31  , 48782.04  , 8.808899  , 26.278687 , 5163.4404 , 21        , 1.1040001 , 0.99200004, 1008.7746 , 392.69742 , 398.91623 , 398.4187  , 399.41373 , 374.95306 , 165.87036 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9970703 , 0.9970703 , 97.40625  , 6         , 109       , 104.25    , 364.25668 , 74.75098  , 0.78125   , 7.03125   , 0.78125   , 8.59375   , 2218.8984 , 21        , 17        , 5.490196  
0.697,697, 29.25     , 24        , 1023.96875, 0         , 12.988281 , 0.9482422 , 1.0595703 , 3         , 489.35    , 489.1     , 52992.92  , 48389.34  , 5.7495117 , 26.217651 , 5144.8667 , 20.25     , 0.92      , 1.0400001 , 1008.7746 , 390.45862 , 387.80527 , 387.22485 , 388.4686  , 360.27664 , 158.70653 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9970703 , 0.9970703 , 92.3125   , 6         , 109       , 105.375   , 359.0329  , 74.57153  , 0.78125   , 6.25      , 0         , 8.59375   , 2205.899  , 20        , 17        , 5.098039  
0.797,797, 29.25     , 24        , 1023.96875, 0         , 12.792969 , 0.9707031 , 0.98828125, 3         , 490.975   , 490.6625  , 50525.297 , 46951.22  , 5.659485  , 26.000977 , 5203.2407 , 20.625    , 0.85600007, 0.99200004, 1008.85754, 378.18683 , 373.2118  , 373.12888 , 373.37762 , 349.0828  , 151.16118 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 88.25     , 6         , 109       , 104.625   , 363.3446  , 74.39209  , -0.78125  , 6.25      , -0.78125  , 8.59375   , 2199.8994 , 20        , 17        , 5.490196  
0.897,897, 29.25     , 24        , 1023.96875, 0         , 12.792969 , 1.0253906 , 0.95214844, 3         , 491.85    , 491.5375  , 47118.383 , 46455.043 , 7.096863  , 25.868225 , 5256.3076 , 20.625    , 0.85600007, 0.984     , 1008.9405 , 369.64633 , 365.1688  , 365.00296 , 365.33463 , 339.7131  , 146.98581 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 86        , 6         , 109       , 104.625   , 362.8471  , 74.21265  , -0.78125  , 6.25      , -0.78125  , 8.59375   , 2201.8992 , 20        , 17        , 5.490196  
0.997,997, 29.25     , 24        , 1023.96875, 0         , 13.183594 , 1.0595703 , 0.95410156, 3         , 492.35    , 492.2875  , 45781.09  , 46351.562 , 7.6019287 , 25.808716 , 5306.7217 , 20.625    , 0.86800003, 0.984     , 1009.0234 , 363.42752 , 362.26666 , 362.4325  , 362.10083 , 339.79602 , 146.81625 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 86.15625  , 6         , 109       , 103.125   , 370.8072  , 74.0332   , 0         , 6.25      , -0.78125  , 8.59375   , 2200.8992 , 21.5      , 17        , 5.490196  
1.097,1097, 29.25     , 24        , 1023.96875, 0         , 13.183594 , 1.0625    , 0.94628906, 3         , 492.6625  , 492.4125  , 44963.85  , 46794.67  , 8.625793  , 25.802612 , 5298.7617 , 21        , 0.90400004, 1.024     , 1009.0234 , 364.3396  , 370.39258 , 369.72925 , 371.05594 , 346.92694 , 151.60628 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9980469 , 0.9980469 , 88.625    , 6         , 109       , 101.625   , 399.3308  , 73.85376  , 0         , 6.25      , -1.5625   , 8.59375   , 2205.899  , 21.5      , 17        , 6.666667  
1.197,1197, 29.25     , 24        , 1023.96875, 0         , 14.941406 , 1.0625    , 0.94433594, 3         , 492.7875  , 492.475   , 46964.49  , 48312.395 , 8.955383  , 25.976562 , 5306.7217 , 21        , 1.1       , 0.99200004, 1009.1063 , 379.01602 , 392.78033 , 392.6145  , 392.94617 , 372.29968 , 165.23453 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9970703 , 0.9970703 , 97.5      , 6         , 109       , 99.375    , 419.47977 , 73.67432  , 0.78125   , 7.03125   , -1.5625   , 8.59375   , 2217.8984 , 20.5      , 17        , 6.666667  
1.297,1297, 29.25     , 24        , 1023.96875, 0         , 15.136719 , 1.0273438 , 0.96875   , 3         , 492.7875  , 492.5375  , 44969.16  , 49405.58  , 11.669922 , 26.15509  , 5274.8813 , 21.375    , 1.212     , 1.0600001 , 1009.1063 , 401.07208 , 414.9193  , 414.33887 , 415.58264 , 389.54654 , 174.49664 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9970703 , 0.9970703 , 103.28125 , 6         , 109       , 99.375    , 421.13812 , 73.49487  , 0.78125   , 7.03125   , -2.34375  , 8.59375   , 2219.8984 , 21        , 17        , 6.27451   
1.397,1397, 29.25     , 24        , 1023.96875, 0         , 15.136719 , 0.9609375 , 1.0146484 , 3         , 493.5375  , 493.2875  , 49373.74  , 49954.824 , 9.617615  , 26.257324 , 5245.6943 , 20.625    , 1.184     , 1.044     , 1009.1063 , 418.98227 , 426.19608 , 425.3669  , 427.1082  , 398.25287 , 179.32906 , 0         , 0         , 0         , 0         , 0         , 0         , 0.99609375, 0.99609375, 106       , 6         , 109       , 99.75     , 420.72354 , 73.31543  , 0         , 7.03125   , -2.34375  , 8.59375   , 2215.8984 , 20.5      , 17        , 5.882353  
1.497,1497, 29.25     , 24        , 1023.96875, 0         , 15.136719 , 0.9511719 , 1.0458984 , 3         , 494.5375  , 494.35    , 52796.574 , 50135.254 , 8.053589  , 26.313782 , 5163.4404 , 20.625    , 1.164     , 1.024     , 1009.1063 , 430.50778 , 426.44482 , 426.6107  , 426.3619  , 398.00412 , 177.78183 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9970703 , 0.9970703 , 104.21875 , 6         , 109       , 99.75     , 419.97726 , 73.13599  , 0         , 7.03125   , -1.5625   , 8.59375   , 2209.899  , 20        , 17        , 5.882353  
1.598,1598, 29.25     , 24        , 1023.96875, 0         , 15.136719 , 0.9453125 , 1.0595703 , 3         , 495.6625  , 495.5375  , 52456.945 , 49400.273 , 7.322693  , 26.257324 , 5160.7866 , 20.625    , 1.1240001 , 1.0040001 , 1009.1063 , 430.67365 , 418.40182 , 418.3189  , 418.5677  , 391.03906 , 174.17873 , 0         , 0         , 0         , 0         , 0         , 0         , 0.9970703 , 0.9970703 , 102.21875 , 6         , 109       , 99.75     , 414.8364  , 72.95654  , 0         , 7.03125   , -1.5625   , 8.59375   , 2199.8994 , 20.5      , 17        , 5.882353  
