Time, Milliseconds," ""tia""       "," ""TIA_AM_SCHA""           "," ""tqi_gs_fast_dec"""," ""tqi_gs_fast_inc"""," ""pv_av""     "," ""LAMB_LS_UP[1]""           "," ""LAMB_LS_UP[2]""           "," ""state_eng"" "," ""teg_dyn_up_cat[1]"""," ""TEG_DYN_UP_CAT[2]""           "," ""fup""       "," ""fup_sp""    "," ""pump_vol_vcv"""," ""efppwm""    "," ""fup_efp""   "," ""iga_av_mv"" "," ""TI_1_HOM[0]""           "," ""TI_1_HOM[3]""           "," ""amp_mes""   "," ""map""       "," ""map_mes""   "," ""map_1_mes"" "," ""map_2_mes"" "," ""pdt_mes""   "," ""maf""       "," ""iga_ad_1_knk[0]"""," ""iga_ad_1_knk[1]"""," ""iga_ad_1_knk[2]"""," ""iga_ad_1_knk[3]"""," ""iga_ad_1_knk[4]"""," ""iga_ad_1_knk[5]"""," ""lamb_sp[1]"""," ""LAMB_SP[2]""           "," ""tqi_av""    "," ""gear""      "," ""vs""        "," ""CAM_SP_IVVT_IN""           "," ""map_sp""    "," ""rfp_sp""    "," ""Short Term Fuel Trim - Bank 1""           "," ""Long Term Fuel Trim - Bank 1""           "," ""Short Term Fuel Trim - Bank 2""           "," ""Long Term Fuel Trim - Bank 2""           "," ""Engine RPM""           "," ""Ignition Timing Advance for #1 Cylinder""           "," ""Ambient air temperature""           "," ""Commanded Throttle Actuator Control""           "
300.074,300074,42.0,36.0,1023.96875,0.0,14.0625,0.99316406,0.9794922,3,545.725,545.9125,52196.914,50480.19,6.538391,25.984192,5126.293,22.5,0.98,1.0200001,1009.1063,400.6575,401.56958,400.98917,402.2329,370.39258,159.36357,0.0,0.0,0.0,0.0,0.0,0.0,0.9970703,0.9970703,95.40625,3,57,97.125,404.9692,75.31494,-6.25,9.375,-5.46875,10.9375,2591.8813,22.0,24,6.666667
300.174,300174,42.0,36.0,1023.96875,0.0,14.0625,0.9970703,0.99609375,3,546.225,546.2875,52504.703,50780.02,6.414795,26.049805,5099.76,22.5,1.0,1.036,1009.1063,404.0571,403.22794,403.47668,402.9792,370.5584,159.93582,0.0,0.0,0.0,0.0,0.0,0.0,0.9970703,0.9970703,95.3125,3,57,97.125,405.30087,75.10986,-6.25,9.375,-5.46875,10.9375,2603.8809,22.0,24,6.666667
300.274,300274,42.0,36.0,1023.96875,0.0,14.2578125,0.99609375,0.99121094,3,546.9125,546.975,50509.38,50941.875,7.487488,26.106262,5086.4927,22.5,1.016,1.052,1009.1063,405.71545,403.5596,403.0621,404.0571,373.46054,159.57552,0.0,0.0,0.0,0.0,0.0,0.0,0.9970703,0.9970703,95.84375,3,57,96.75,411.85135,74.93042,-6.25,9.375,-5.46875,10.9375,2607.8806,22.5,24,6.666667
300.374,300374,42.0,36.0,1023.96875,0.0,14.2578125,0.9873047,0.98046875,3,547.6625,547.725,49851.344,50700.418,7.6919556,26.081848,5128.9463,22.5,1.008,1.044,1009.1063,406.62756,405.30087,405.79837,404.80338,372.96304,160.33853,0.0,0.0,0.0,0.0,0.0,0.0,0.9970703,0.9970703,96.375,3,57,96.75,412.01718,74.75098,-6.25,9.375,-6.25,10.9375,2611.8804,22.5,24,6.666667
300.474,300474,42.0,36.0,1023.96875,0.0,14.2578125,0.99121094,0.9765625,3,548.2875,548.35,50074.227,50567.75,7.5561523,26.06659,5123.6396,22.5,1.0,1.036,1009.1063,406.7934,407.45673,407.53964,407.3738,372.7972,161.08034,0.0,0.0,0.0,0.0,0.0,0.0,0.9970703,0.9970703,96.28125,3,57,96.375,412.1001,74.57153,-7.03125,9.375,-7.03125,10.9375,2620.8801,22.5,24,6.666667
300.575,300575,42.0,36.0,1023.96875,0.0,14.2578125,0.98828125,0.9873047,3,548.85,548.85,50297.11,50787.98,7.646179,26.095581,5150.1733,22.125,1.0120001,1.0400001,1009.1063,408.20297,409.61258,409.52966,409.6955,376.03098,162.77592,0.0,0.0,0.0,0.0,0.0,0.0,0.9970703,0.9970703,97.0625,3,58,96.75,407.95422,74.39209,-7.8125,9.375,-7.03125,10.9375,2626.8796,22.5,24,6.666667
300.674,300674,42.0,36.0,1023.96875,0.0,14.2578125,0.98535156,0.9794922,3,549.4125,549.4125,50939.223,50705.727,7.298279,26.0849,5142.2134,22.5,1.0120001,1.0200001,1009.1063,408.94925,408.7005,408.61758,408.78342,378.021,161.75858,0.0,0.0,0.0,0.0,0.0,0.0,0.9970703,0.9970703,96.21875,3,58,96.375,408.94925,74.21265,-7.8125,9.375,-8.59375,10.9375,2635.8794,22.5,24,6.666667
300.774,300774,42.0,36.0,1023.96875,0.0,14.2578125,0.984375,0.97753906,3,550.0375,550.1,51379.68,50461.617,6.828308,26.054382,5142.2134,22.5,0.99600005,0.99600005,1009.1063,409.7784,407.3738,406.54462,408.20297,374.37262,160.52928,0.0,0.0,0.0,0.0,0.0,0.0,0.9970703,0.9970703,96.5625,3,58,96.375,408.78342,74.0332,-8.59375,9.375,-9.375,10.9375,2638.8792,22.5,24,6.666667
300.874,300874,42.0,36.0,1023.96875,0.0,14.2578125,0.9736328,0.98046875,3,550.5375,550.6,51432.746,50270.574,6.52771,26.052856,5126.293,22.5,0.96400005,0.98,1009.1063,409.86133,405.9642,406.04712,405.8813,372.3826,160.55048,0.0,0.0,0.0,0.0,0.0,0.0,0.9970703,0.9970703,96.5,3,58,96.375,408.61758,73.85376,-8.59375,9.375,-9.375,10.9375,2643.879,22.5,24,6.666667
300.974,300974,42.0,36.0,1023.96875,0.0,14.2578125,0.9716797,0.9873047,3,550.975,551.1,50525.297,49997.277,6.590271,26.052856,5134.2534,22.5,0.952,0.98,1009.1063,408.3688,405.54962,405.63254,405.4667,370.22675,160.23256,0.0,0.0,0.0,0.0,0.0,0.0,0.9970703,0.9970703,96.03125,3,58,96.0,407.8713,73.67432,-10.15625,8.59375,-10.15625,10.9375,2650.8787,23.0,24,6.666667
301.074,301074,42.0,36.0,1023.96875,0.0,13.8671875,0.9736328,0.99121094,3,551.5375,551.6625,48949.2,49832.77,7.1990967,26.060486,5147.52,22.875,0.96400005,0.98800004,1009.1063,406.4617,403.80835,403.47668,404.22293,371.63635,159.80865,0.0,0.0,0.0,0.0,0.0,0.0,0.9970703,0.9970703,95.21875,3,58,96.0,386.1469,73.49487,-10.9375,8.59375,-10.15625,10.9375,2651.8787,23.0,24,6.27451
301.174,301174,42.0,36.0,1023.96875,0.0,13.183594,0.96875,0.99316406,3,551.9125,552.225,48625.492,49615.195,7.319641,26.065063,5152.8267,22.5,0.9480001,0.98800004,1009.1063,404.47168,399.49664,399.08206,399.91122,365.7492,157.41365,0.0,0.0,0.0,0.0,0.0,0.0,0.9970703,0.9970703,94.0,3,59,102.0,364.09085,73.31543,-11.71875,8.59375,-10.9375,10.9375,2660.8782,22.0,24,5.882353
301.274,301274,42.0,36.0,1023.96875,0.0,11.230469,0.9716797,0.984375,3,552.2875,552.5375,53353.78,49355.164,4.2785645,26.078796,5105.0664,21.375,0.87200004,0.91200006,1009.1063,391.95114,383.82523,383.07898,384.57147,349.6632,151.60628,0.0,0.0,0.0,0.0,0.0,0.0,0.9980469,0.9980469,88.21875,3,59,113.625,299.82977,73.13599,-12.5,8.59375,-11.71875,10.9375,2659.8782,20.5,24,4.7058825
301.374,301374,42.0,36.0,1023.96875,0.0,8.886719,0.9716797,0.97753906,3,552.7875,553.0375,53040.684,46237.465,0.0,26.069641,5113.0264,20.625,0.688,0.712,1009.1063,351.73615,346.4294,346.51233,346.4294,308.9507,124.39217,0.0,0.0,0.0,0.0,0.0,0.0,0.99902344,0.99902344,71.59375,3,59,124.875,282.08542,72.95654,-13.28125,7.8125,-13.28125,10.15625,2647.879,22.0,24,4.3137255
301.474,301474,42.0,36.0,1023.96875,0.0,8.886719,0.984375,0.9482422,3,553.2875,553.6625,47102.46,40461.098,0.0,25.878906,5213.854,23.625,0.61200005,0.62,1009.1063,312.59906,317.65704,317.4083,317.9058,286.14838,110.42481,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,64.59375,3,59,124.875,284.24127,72.7771,-14.0625,7.8125,-16.40625,10.15625,2655.8784,24.0,24,4.3137255
301.574,301574,42.0,36.0,1023.96875,0.0,9.277344,0.96875,0.9277344,3,552.6625,552.9125,42018.62,38760.297,1.3641357,25.804138,5341.2153,24.0,0.60400003,0.596,1009.1063,299.33228,309.28238,309.03363,309.61404,278.6858,107.98741,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,63.15625,3,59,121.125,306.54608,72.59766,-14.84375,7.8125,-18.75,10.15625,2658.8782,24.5,24,5.098039
301.674,301674,42.0,36.0,1023.96875,0.0,9.9609375,0.9580078,0.9375,3,551.225,551.4125,35703.625,38760.297,5.4763794,25.749207,5468.5767,23.625,0.66400003,0.66400003,1009.1063,301.73688,313.01367,312.76492,313.34534,283.8267,111.59053,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,66.0,3,59,121.125,304.63898,72.41821,-16.40625,7.8125,-20.3125,10.15625,2666.878,23.0,24,4.7058825
